reg_index,db_id
15721,112156
15722,116366
15723,57312
15725,42624
15726,140902
15727,103819
15849,115528
15850,116375
15851,111808
15852,103327
15853,111200
15854,140862
15855,129021
15856,128441
15857,106629
15859,34431
15862,44105
15864,140049
15865,42602
15866,129022
15869,127322
15870,141204
15872,117856
15874,112076
15876,135071
15877,141044
15879,108807
15903,121342
15904,121343
15907,135952
15909,127040
15911,111039
15915,132331
15918,117424
15920,123125
15921,46694
15922,140046
15929,145634
15930,107926
15937,126110
16070,54833
17983,110903
17984,104749
18218,33799
18219,59912
18221,40284
18223,125394
18228,143825
18269,130320
18270,116258
18271,143788
18300,35191
18951,55282
